,CV RMSE,CV RMSE Std,CV R2,CV R2 Std,CV MAE,CV MAE Std,Train RMSE,Train R2,AUC
Linear Regression,0.21233728027233684,0.0005272958237569459,0.32880398721191095,0.006296044155863279,0.1133377406415422,0.0003935422104500005,0.21230192228142716,0.32907735817004485,0.9494795252775275
Lasso,0.21241055870977102,0.000506195654197885,0.3283415460766791,0.006165352355148566,0.11293263754672686,0.00038719574789315714,0.21238598752527088,0.32854594298540035,0.949376862445196
Ridge,0.21233727455547813,0.0005272766642791597,0.3288040252540902,0.006295806399800252,0.11333786517811292,0.0003935337847270802,0.2123019223284416,0.32907735787288894,0.9494796462219462
CART,0.20394960698053105,0.0006447199008570881,0.38075939864343467,0.00816471586546932,0.08232873878210335,0.00033508264443502683,0.20176430675501472,0.39402516514501507,0.9551863356698275
Random Forest,0.20344366780946407,0.000893494788833885,0.38383020593795836,0.008397784594224472,0.0821827714702924,0.0004584563589990877,0.20031926669305627,0.4026746350865375,0.9583453166148578
LightGBM,0.20312657883636964,0.0010086393123896731,0.38573946839391043,0.00930946116906933,0.08226906870825583,0.00045230576721015474,0.19866486627058982,0.41249595086471447,0.9585309486207549
